Messstelle:                ;Hannersdorf
HZB-Nummer:                ;210252
HD-Nummer:                 ;
DBMS-Nummer:               ;1001023
Gewässer:                  ;Tauchenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;175,4
Pegelnullpunkt:;
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00246,39
   01.01.1989              ;00246,96
Bundesmeldenetz(BMN)-Koordinaten:;
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1933              ;753700,00 - 232200,00
   05.10.2018              ;753697,93 - 232217,30
Exportzeitreihe:           ;(1001023,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke;
Werte:;
01.01.1951 00:00; 0,960
02.01.1951 00:00; 0,960
03.01.1951 00:00; 0,960
04.01.1951 00:00; 0,960
05.01.1951 00:00; 0,960
06.01.1951 00:00; 0,960
07.01.1951 00:00; 0,960
08.01.1951 00:00; 0,960
09.01.1951 00:00; 0,960
10.01.1951 00:00; 0,870
11.01.1951 00:00; 0,870
12.01.1951 00:00; 0,870
13.01.1951 00:00; 0,870
14.01.1951 00:00; 0,870
15.01.1951 00:00; 0,780
16.01.1951 00:00; 0,780
17.01.1951 00:00; 0,780
18.01.1951 00:00; 0,780
19.01.1951 00:00; 0,780
20.01.1951 00:00; 0,780
21.01.1951 00:00; 0,960
22.01.1951 00:00; 0,960
23.01.1951 00:00; 0,960
24.01.1951 00:00; 0,960
25.01.1951 00:00; 0,960
26.01.1951 00:00; 0,960
27.01.1951 00:00; 0,960
28.01.1951 00:00; 0,960
29.01.1951 00:00; 0,960
30.01.1951 00:00; 0,960
31.01.1951 00:00;  1,17
01.02.1951 00:00;  1,17
02.02.1951 00:00;  1,17
03.02.1951 00:00;  1,17
04.02.1951 00:00;  1,28
05.02.1951 00:00;  1,28
06.02.1951 00:00;  1,28
07.02.1951 00:00;  1,28
08.02.1951 00:00;  1,28
09.02.1951 00:00;  1,28
10.02.1951 00:00;  1,28
11.02.1951 00:00;  1,28
12.02.1951 00:00;  1,40
13.02.1951 00:00;  1,40
14.02.1951 00:00;  1,40
15.02.1951 00:00;  1,40
16.02.1951 00:00;  1,40
17.02.1951 00:00;  1,28
18.02.1951 00:00;  1,28
19.02.1951 00:00;  1,28
20.02.1951 00:00;  1,17
21.02.1951 00:00;  1,17
22.02.1951 00:00;  1,51
23.02.1951 00:00;  1,51
24.02.1951 00:00;  1,40
25.02.1951 00:00;  1,40
26.02.1951 00:00;  1,17
27.02.1951 00:00;  1,17
28.02.1951 00:00;  1,17
01.03.1951 00:00; 0,960
02.03.1951 00:00; 0,960
03.03.1951 00:00; 0,960
04.03.1951 00:00; 0,960
05.03.1951 00:00; 0,870
06.03.1951 00:00; 0,870
07.03.1951 00:00; 0,870
08.03.1951 00:00; 0,870
09.03.1951 00:00; 0,870
10.03.1951 00:00; 0,870
11.03.1951 00:00; 0,690
12.03.1951 00:00; 0,690
13.03.1951 00:00; 0,690
14.03.1951 00:00; 0,690
15.03.1951 00:00; 0,690
16.03.1951 00:00; 0,690
17.03.1951 00:00; 0,690
18.03.1951 00:00; 0,920
19.03.1951 00:00; 0,920
20.03.1951 00:00; 0,920
21.03.1951 00:00; 0,960
22.03.1951 00:00; 0,960
23.03.1951 00:00; 0,960
24.03.1951 00:00; 0,960
25.03.1951 00:00; 0,960
26.03.1951 00:00; 0,960
27.03.1951 00:00; 0,960
28.03.1951 00:00; 0,960
29.03.1951 00:00; 0,960
30.03.1951 00:00; 0,960
31.03.1951 00:00; 0,960
01.04.1951 00:00; 0,690
02.04.1951 00:00; 0,690
03.04.1951 00:00; 0,690
04.04.1951 00:00; 0,690
05.04.1951 00:00; 0,690
06.04.1951 00:00; 0,960
07.04.1951 00:00; 0,960
08.04.1951 00:00; 0,920
09.04.1951 00:00; 0,920
10.04.1951 00:00; 0,870
11.04.1951 00:00; 0,870
12.04.1951 00:00; 0,870
13.04.1951 00:00; 0,870
14.04.1951 00:00; 0,870
15.04.1951 00:00; 0,690
16.04.1951 00:00; 0,690
17.04.1951 00:00; 0,690
18.04.1951 00:00; 0,690
19.04.1951 00:00; 0,690
20.04.1951 00:00; 0,600
21.04.1951 00:00; 0,600
22.04.1951 00:00; 0,600
23.04.1951 00:00; 0,690
24.04.1951 00:00; 0,690
25.04.1951 00:00; 0,690
26.04.1951 00:00; 0,690
27.04.1951 00:00; 0,690
28.04.1951 00:00; 0,690
29.04.1951 00:00; 0,690
30.04.1951 00:00; 0,690
01.05.1951 00:00; 0,960
02.05.1951 00:00; 0,960
03.05.1951 00:00; 0,870
04.05.1951 00:00; 0,870
05.05.1951 00:00; 0,870
06.05.1951 00:00; 0,690
07.05.1951 00:00; 0,690
08.05.1951 00:00; 0,780
09.05.1951 00:00; 0,780
10.05.1951 00:00; 0,780
11.05.1951 00:00;  9,43
12.05.1951 00:00;  1,51
13.05.1951 00:00; 0,960
14.05.1951 00:00; 0,870
15.05.1951 00:00; 0,600
16.05.1951 00:00; 0,600
17.05.1951 00:00; 0,690
18.05.1951 00:00; 0,690
19.05.1951 00:00; 0,690
20.05.1951 00:00; 0,690
21.05.1951 00:00; 0,690
22.05.1951 00:00; 0,440
23.05.1951 00:00; 0,440
24.05.1951 00:00; 0,440
25.05.1951 00:00; 0,360
26.05.1951 00:00; 0,360
27.05.1951 00:00; 0,360
28.05.1951 00:00; 0,360
29.05.1951 00:00; 0,360
30.05.1951 00:00; 0,360
31.05.1951 00:00; 0,360
01.06.1951 00:00;  7,40
02.06.1951 00:00;  7,72
03.06.1951 00:00;  7,88
04.06.1951 00:00;  7,88
05.06.1951 00:00;  10,0
06.06.1951 00:00;  10,0
07.06.1951 00:00;  9,27
08.06.1951 00:00; 0,960
09.06.1951 00:00; 0,960
10.06.1951 00:00; 0,960
11.06.1951 00:00; 0,870
12.06.1951 00:00; 0,870
13.06.1951 00:00; 0,870
14.06.1951 00:00; 0,870
15.06.1951 00:00; 0,870
16.06.1951 00:00; 0,870
17.06.1951 00:00; 0,690
18.06.1951 00:00; 0,690
19.06.1951 00:00; 0,690
20.06.1951 00:00; 0,690
21.06.1951 00:00; 0,690
22.06.1951 00:00; 0,690
23.06.1951 00:00; 0,600
24.06.1951 00:00; 0,440
25.06.1951 00:00; 0,440
26.06.1951 00:00; 0,440
27.06.1951 00:00; 0,280
28.06.1951 00:00; 0,280
29.06.1951 00:00; 0,280
30.06.1951 00:00; 0,280
01.07.1951 00:00; 0,280
02.07.1951 00:00; 0,280
03.07.1951 00:00; 0,280
04.07.1951 00:00; 0,360
05.07.1951 00:00; 0,360
06.07.1951 00:00; 0,360
07.07.1951 00:00; 0,360
08.07.1951 00:00; 0,360
09.07.1951 00:00; 0,360
10.07.1951 00:00; 0,360
11.07.1951 00:00; 0,360
12.07.1951 00:00; 0,360
